density,configuration,seed,accident_trigger_s,accident_detection_s,em_generation_s,ev_receipt_s,ev_departure_s,ev_arrival_s,stored_travel_time_s,stored_response_time_s,calculated_travel_time_s,calculated_response_time_s,status
medium,MistAStar,30,60.0,65.5,65.5,65.5245,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,4,60.0,65.5,65.5,65.5194,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,5,60.0,65.5,65.5,65.5212,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,6,60.0,66.0,66.0,66.0204,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,7,60.0,66.0,66.0,66.0331,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,8,60.0,66.0,66.0,66.0255,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistAStar,9,60.0,66.0,66.0,66.0502,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,1,60.0,65.5,65.5,65.5153,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,10,60.0,65.5,65.5,65.524,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,11,60.0,66.0,66.0,66.0256,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,12,60.0,65.5,65.5,65.5204,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,13,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
high,MistDynamicAStar,14,60.0,66.0,66.0,66.0317,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,15,60.0,66.0,66.0,66.0313,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,16,60.0,66.0,66.0,66.0171,67.0,207.5,140.5,141.5,140.5,141.5,PASS
high,MistDynamicAStar,17,60.0,65.5,65.5,65.5203,66.5,204.0,137.5,138.5,137.5,138.5,PASS
high,MistDynamicAStar,18,60.0,66.0,66.0,66.0265,67.0,204.5,137.5,138.5,137.5,138.5,PASS
high,MistDynamicAStar,19,60.0,66.0,66.0,66.0291,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,2,60.0,65.5,65.5,65.5139,66.5,208.0,141.5,142.5,141.5,142.5,PASS
high,MistDynamicAStar,20,60.0,66.0,66.0,66.0268,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,21,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
high,MistDynamicAStar,22,60.0,66.5,66.5,66.5196,67.5,254.0,186.5,187.5,186.5,187.5,PASS
high,MistDynamicAStar,23,60.0,65.5,65.5,65.5159,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,24,60.0,66.0,66.0,66.0299,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,25,60.0,65.5,65.5,65.5169,66.5,204.0,137.5,138.5,137.5,138.5,PASS
high,MistDynamicAStar,26,60.0,66.0,66.0,66.0241,67.0,214.5,147.5,148.5,147.5,148.5,PASS
high,MistDynamicAStar,27,60.0,66.0,66.0,66.0248,67.0,207.5,140.5,141.5,140.5,141.5,PASS
high,MistDynamicAStar,28,60.0,66.0,66.0,66.0185,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,29,60.0,66.0,66.0,66.0243,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,3,60.0,65.5,65.5,65.5177,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,30,60.0,66.0,66.0,66.0301,67.0,213.0,146.0,147.0,146.0,147.0,PASS
high,MistDynamicAStar,4,60.0,65.5,65.5,65.519,66.5,204.0,137.5,138.5,137.5,138.5,PASS
high,MistDynamicAStar,5,60.0,66.0,66.0,66.0247,67.0,204.5,137.5,138.5,137.5,138.5,PASS
high,MistDynamicAStar,6,60.0,66.0,66.0,66.0344,67.0,207.5,140.5,141.5,140.5,141.5,PASS
high,MistDynamicAStar,7,60.0,66.0,66.0,66.0264,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicAStar,8,60.0,65.5,65.5,65.5153,66.5,204.0,137.5,138.5,137.5,138.5,PASS
high,MistDynamicAStar,9,60.0,66.0,66.0,66.0395,67.0,211.0,144.0,145.0,144.0,145.0,PASS
low,MistDynamicAStar,1,60.0,66.0,66.0,66.0364,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,10,60.0,65.5,65.5,65.5234,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,11,60.0,66.0,66.0,66.0227,67.0,207.5,140.5,141.5,140.5,141.5,PASS
low,MistDynamicAStar,12,60.0,65.5,65.5,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
low,MistDynamicAStar,13,60.0,66.0,66.0,66.0417,67.0,209.5,142.5,143.5,142.5,143.5,PASS
low,MistDynamicAStar,14,60.0,66.0,66.0,66.029,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,15,60.0,66.0,66.0,66.0266,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,16,60.0,66.0,66.0,66.0258,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,17,60.0,66.0,66.0,66.036,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,18,60.0,65.5,65.5,65.5312,66.5,206.5,140.0,141.0,140.0,141.0,PASS
